SETTLEMENTDATE,REGIONID,RRP
2025-04-01 00:05:00,NSW1,57.01
2025-04-01 00:10:00,NSW1,57.01
2025-04-01 00:15:00,NSW1,57.01
2025-04-01 00:20:00,NSW1,57.01
2025-04-01 00:25:00,NSW1,56.9799
2025-04-01 00:30:00,NSW1,56.97998
2025-04-01 00:35:00,NSW1,56.98005
2025-04-01 00:40:00,NSW1,57.00991
2025-04-01 00:45:00,NSW1,56.2975
2025-04-01 00:50:00,NSW1,55.6825
2025-04-01 00:55:00,NSW1,56.3279
2025-04-01 01:00:00,NSW1,56.40488
2025-04-01 01:05:00,NSW1,50.45534
2025-04-01 01:10:00,NSW1,56.44866
2025-04-01 01:15:00,NSW1,56.02003
2025-04-01 01:20:00,NSW1,56.51745
2025-04-01 01:25:00,NSW1,53.30297
2025-04-01 01:30:00,NSW1,56.02
2025-04-01 01:35:00,NSW1,56.02
2025-04-01 01:40:00,NSW1,56.98005
2025-04-01 01:45:00,NSW1,56.2316
2025-04-01 01:50:00,NSW1,56.57795
2025-04-01 01:55:00,NSW1,53.06673
2025-04-01 02:00:00,NSW1,55.94569
2025-04-01 02:05:00,NSW1,52.78414
2025-04-01 02:10:00,NSW1,50.09209
2025-04-01 02:15:00,NSW1,55.97641
2025-04-01 02:20:00,NSW1,56.01536
2025-04-01 02:25:00,NSW1,53.12588
2025-04-01 02:30:00,NSW1,56.81001
2025-04-01 02:35:00,NSW1,56.98005
2025-04-01 02:40:00,NSW1,56.98005
2025-04-01 02:45:00,NSW1,57.05186
2025-04-01 02:50:00,NSW1,56.98005
2025-04-01 02:55:00,NSW1,56.98005
2025-04-01 03:00:00,NSW1,56.98005
2025-04-01 03:05:00,NSW1,56.98005
2025-04-01 03:10:00,NSW1,56.9802
2025-04-01 03:15:00,NSW1,51.04906
2025-04-01 03:20:00,NSW1,57.01
2025-04-01 03:25:00,NSW1,53.53097
2025-04-01 03:30:00,NSW1,57.01
2025-04-01 03:35:00,NSW1,57.0444
2025-04-01 03:40:00,NSW1,71.6121
2025-04-01 03:45:00,NSW1,54.74665
2025-04-01 03:50:00,NSW1,56.97998
2025-04-01 03:55:00,NSW1,56.98005
2025-04-01 04:00:00,NSW1,57.00999
2025-04-01 04:05:00,NSW1,52.52146
2025-04-01 04:10:00,NSW1,52.19116
